[2026-05-06 18:46:54.254] schedule_summary_tick took 27.7ms | second_changed=1 blink=0
[2026-05-06 18:46:55.248] schedule_summary_tick took 26.8ms | second_changed=1 blink=0
[2026-05-06 18:46:56.258] schedule_summary_tick took 25.1ms | second_changed=1 blink=0
[2026-05-06 18:46:57.257] schedule_summary_tick took 22.7ms | second_changed=1 blink=0
[2026-05-06 18:46:58.249] schedule_summary_tick took 22.1ms | second_changed=1 blink=0
[2026-05-06 18:46:59.258] schedule_summary_tick took 25.6ms | second_changed=1 blink=0
[2026-05-06 18:47:00.259] schedule_summary_tick took 31.2ms | second_changed=1 blink=0
[2026-05-06 18:47:01.257] schedule_summary_tick took 23.3ms | second_changed=1 blink=0
[2026-05-06 18:47:02.260] schedule_summary_tick took 27.5ms | second_changed=1 blink=0
[2026-05-06 18:47:03.246] schedule_summary_tick took 22.5ms | second_changed=1 blink=0
[2026-05-06 18:47:04.248] schedule_summary_tick took 26.1ms | second_changed=1 blink=0
[2026-05-06 18:47:05.251] schedule_summary_tick took 23.1ms | second_changed=1 blink=0
[2026-05-06 18:47:06.243] schedule_summary_tick took 22.7ms | second_changed=1 blink=0
[2026-05-06 18:47:07.248] schedule_summary_tick took 23.4ms | second_changed=1 blink=0
[2026-05-06 18:47:08.246] schedule_summary_tick took 26.0ms | second_changed=1 blink=0
[2026-05-06 18:47:09.252] schedule_summary_tick took 25.4ms | second_changed=1 blink=0
[2026-05-06 18:47:10.251] schedule_summary_tick took 29.7ms | second_changed=1 blink=0
[2026-05-06 18:47:11.257] schedule_summary_tick took 25.7ms | second_changed=1 blink=0
[2026-05-06 18:47:12.249] schedule_summary_tick took 27.0ms | second_changed=1 blink=0
[2026-05-06 18:47:13.254] schedule_summary_tick took 25.8ms | second_changed=1 blink=0
[2026-05-06 18:47:14.247] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:47:15.257] schedule_summary_tick took 27.8ms | second_changed=1 blink=0
[2026-05-06 18:47:16.255] schedule_summary_tick took 31.6ms | second_changed=1 blink=0
[2026-05-06 18:47:17.254] schedule_summary_tick took 23.5ms | second_changed=1 blink=0
[2026-05-06 18:47:18.258] schedule_summary_tick took 25.1ms | second_changed=1 blink=0
[2026-05-06 18:47:19.151] main_clock_tick took 20.4ms
[2026-05-06 18:47:19.251] schedule_summary_tick took 27.7ms | second_changed=1 blink=0
[2026-05-06 18:47:20.262] schedule_summary_tick took 28.5ms | second_changed=1 blink=0
[2026-05-06 18:47:21.250] schedule_summary_tick took 24.6ms | second_changed=1 blink=0
[2026-05-06 18:47:22.251] schedule_summary_tick took 25.5ms | second_changed=1 blink=0
[2026-05-06 18:47:23.261] schedule_summary_tick took 27.8ms | second_changed=1 blink=0
[2026-05-06 18:47:24.259] schedule_summary_tick took 28.6ms | second_changed=1 blink=0
[2026-05-06 18:47:25.254] schedule_summary_tick took 26.1ms | second_changed=1 blink=0
[2026-05-06 18:47:26.247] schedule_summary_tick took 26.8ms | second_changed=1 blink=0
[2026-05-06 18:47:27.256] schedule_summary_tick took 27.6ms | second_changed=1 blink=0
[2026-05-06 18:47:28.246] schedule_summary_tick took 24.7ms | second_changed=1 blink=0
[2026-05-06 18:47:29.254] schedule_summary_tick took 24.3ms | second_changed=1 blink=0
[2026-05-06 18:47:30.247] schedule_summary_tick took 27.8ms | second_changed=1 blink=0
[2026-05-06 18:47:31.261] schedule_summary_tick took 31.9ms | second_changed=1 blink=0
[2026-05-06 18:47:32.247] schedule_summary_tick took 22.5ms | second_changed=1 blink=0
[2026-05-06 18:47:33.255] schedule_summary_tick took 21.3ms | second_changed=1 blink=0
[2026-05-06 18:47:34.250] schedule_summary_tick took 23.9ms | second_changed=1 blink=0
[2026-05-06 18:47:35.252] schedule_summary_tick took 21.7ms | second_changed=1 blink=0
[2026-05-06 18:47:36.252] schedule_summary_tick took 28.0ms | second_changed=1 blink=0
[2026-05-06 18:47:37.256] schedule_summary_tick took 22.2ms | second_changed=1 blink=0
[2026-05-06 18:47:38.253] schedule_summary_tick took 25.7ms | second_changed=1 blink=0
[2026-05-06 18:47:39.248] schedule_summary_tick took 26.7ms | second_changed=1 blink=0
[2026-05-06 18:47:40.258] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:47:41.253] schedule_summary_tick took 25.9ms | second_changed=1 blink=0
[2026-05-06 18:47:42.252] schedule_summary_tick took 25.0ms | second_changed=1 blink=0
[2026-05-06 18:47:43.247] schedule_summary_tick took 24.7ms | second_changed=1 blink=0
[2026-05-06 18:47:44.257] schedule_summary_tick took 24.5ms | second_changed=1 blink=0
